mz,rt_start,rt_end
199.060099,1.13,1.41
151.023714,6.46,6.8
131.033885,0.78,0.84
74.071273,11.67,12.77
107.033885,4.63,4.71
103.03897,5.14,5.5
89.107324,2.9,3.2
174.02194,1.04,1.21
126.102573,7.07,7.88
117.018235,2.07,2.24
133.060768,6.3,7.25
400.342135,0.69,0.84
206.044784,2.51,3.24
107.049141,2.64,3.44
146.081169,1.48,2.33
156.076753,5.8,6.63
185.080835,1.43,2.28
173.020951,6.53,6.83
105.018235,3.13,3.2
164.03759,4.8,4.97
203.150252,9.09,9.69
75.044055,5.53,5.61
181.070664,5.41,5.93
112.086923,10.56,11.17
343.123488,6.87,7.17
145.049535,3.67,4.21
330.059796,2.51,3.32
87.044055,1.81,2.13
106.086255,7.11,7.79
170.092403,4.72,5.64
363.177529,2.12,3.54
252.109115,1.31,2.48
330.059796,1.94,2.51
132.065519,5.8,6.56
166.086255,3.02,3.77
175.071333,3.54,4.08
189.159754,9.37,9.97
150.058325,3.97,4.38
139.050203,3.29,3.96
